2021-09-19/23:35:23		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:24		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:25		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:26		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-09-19/23:35:32		 wafer_13012020_090817.csv: File loaded successfully!!
