2021-09-19/23:33:59		Start of Validation on files!!
2021-09-19/23:34:18		Raw Data Validation Complete!!
2021-09-19/23:34:18		Starting Data Transforamtion!!
2021-09-19/23:34:34		DataTransformation Completed!!!
2021-09-19/23:34:34		Creating Training_Database and tables on the basis of given schema!!!
2021-09-19/23:35:23		Table creation Completed!!
2021-09-19/23:35:23		Insertion of Data into Table started!!!!
2021-09-19/23:37:00		Insertion in Table completed!!!
2021-09-19/23:37:00		Deleting Good Data Folder!!!
2021-09-19/23:37:00		Good_Data folder deleted!!!
2021-09-19/23:37:00		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-09-19/23:37:00		Bad files moved to archive!! Bad folder Deleted!!
2021-09-19/23:37:00		Validation Operation completed!!
2021-09-19/23:37:00		Extracting csv file from table
